City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san patricio,28.017,-97.5169,21.2,44,0,1.66,US,1707249185
1,st. john's,47.5649,-52.7093,0.93,97,100,15.95,CA,1707249118
2,keflavik,64.0049,-22.5624,-2.05,74,40,7.72,IS,1707249186
3,port-aux-francais,-49.35,70.2167,6.02,89,100,11.78,TF,1707249186
4,ribeira grande,38.5167,-28.7,17.1,94,75,13.89,PT,1707249186
5,jamestown,42.097,-79.2353,6.4,43,0,2.57,US,1707249063
6,jinsha,32.0898,121.0735,1.15,82,76,3.12,CN,1707249187
7,laojunmiao,39.8333,97.7333,-8.2,69,100,1.02,CN,1707249187
8,adamstown,-25.066,-130.1015,24.95,80,35,0.72,PN,1707249187
9,bamusso,4.4591,8.9027,26.98,81,100,1.55,CM,1707249187
10,klyuchi,52.2667,79.1667,-9.01,83,81,4.89,RU,1707249187
11,punta arenas,-53.15,-70.9167,18.01,55,0,8.23,CL,1707249090
12,namibe,-15.1961,12.1522,25.11,79,100,0.56,AO,1707249171
13,tidjikja,18.5564,-11.4271,24.08,9,6,5.13,MR,1707249188
14,edinburgh of the seven seas,-37.0676,-12.3116,17.09,69,26,3.43,SH,1707249065
15,longyearbyen,78.2186,15.6401,-10.09,67,75,8.75,SJ,1707249067
16,zeya,53.75,127.2667,-24.17,99,100,0.88,RU,1707249189
17,tura,25.5198,90.2201,13.88,90,0,0.81,IN,1707249189
18,west island,-12.1568,96.8225,26.99,83,40,2.57,CC,1707249189
19,grytviken,-54.2811,-36.5092,10.42,54,3,2.04,GS,1707249125
20,invercargill,-46.4,168.35,12.79,95,76,4.02,NZ,1707249189
21,kendari,-3.945,122.4989,24.46,93,97,1.11,ID,1707249190
22,papatowai,-46.5619,169.4708,12.22,91,93,3.83,NZ,1707249126
23,marsa alam,25.0757,34.8918,18.29,61,0,6.09,EG,1707249190
24,sadovoye,47.7764,44.5089,-0.58,77,15,8.17,RU,1707249190
25,pocoes,-14.5297,-40.3653,26.74,59,80,2.81,BR,1707249191
26,aral,40.5156,81.2636,-2.02,55,13,1.33,CN,1707249191
27,blackmans bay,-43.0167,147.3167,12.07,82,97,2.05,AU,1707249191
28,kitimat,54.0524,-128.6534,0.51,76,100,1.34,CA,1707249191
29,tiksi,71.6872,128.8694,-23.78,98,99,2.67,RU,1707249191
30,uturoa,-16.7333,-151.4333,28.15,85,100,9.9,PF,1707249192
31,balabac,7.9868,117.0645,26.04,84,11,4.26,PH,1707249192
32,bredasdorp,-34.5322,20.0403,22.17,61,14,7.09,ZA,1707249069
33,bhabhua,25.05,83.6167,13.0,64,3,2.7,IN,1707249192
34,bethel,41.3712,-73.414,6.08,49,0,2.57,US,1707249089
35,walvis bay,-22.9575,14.5053,21.53,78,94,3.09,NA,1707249171
36,weno,7.4515,151.8468,26.97,69,75,5.66,FM,1707249193
37,jiamusi,46.8333,130.35,-22.75,99,33,2.78,CN,1707249193
38,hermanus,-34.4187,19.2345,19.89,77,70,7.29,ZA,1707249123
39,lazaro cardenas,17.9583,-102.2,28.88,58,11,3.79,MX,1707249194
40,waitangi,-43.9535,-176.5597,18.23,91,100,2.24,NZ,1707249056
41,taro,-8.3862,115.28,23.0,92,99,0.65,ID,1707249194
42,iqaluit,63.7506,-68.5145,-10.15,66,75,8.23,CA,1707249194
43,crane,31.3974,-102.3501,17.54,34,100,8.61,US,1707249195
44,rupert,42.6191,-113.6772,8.99,76,100,1.54,US,1707249195
45,ruteng,-8.6136,120.4721,16.51,88,70,0.35,ID,1707249195
46,luena,-11.7833,19.9167,20.1,94,19,1.54,AO,1707249195
47,polyarnyy,69.1989,33.4478,-17.89,99,90,5.03,RU,1707249195
48,asosa,10.0667,34.5333,20.05,31,45,2.23,ET,1707249196
49,hovd,48.0056,91.6419,-21.06,96,40,0.6,MN,1707249196
50,rio grande,-32.035,-52.0986,29.06,68,81,6.24,BR,1707249196
51,qaqortoq,60.7167,-46.0333,-16.17,61,0,3.98,GL,1707249196
52,shingu,33.7333,135.9833,3.29,74,100,2.4,JP,1707249197
53,happy valley-goose bay,53.3168,-60.3315,-8.83,57,20,1.54,CA,1707249147
54,at taj,24.2049,23.2857,12.23,36,4,3.58,LY,1707249197
55,la passe,45.5549,-0.8967,10.55,91,100,4.28,FR,1707249127
56,albany,42.6001,-73.9662,4.03,56,6,0.45,US,1707249197
57,nar'yan-mar,67.6713,53.087,-27.72,99,97,1.34,RU,1707249087
58,khanty-mansiysk,61.0042,69.0019,-0.94,100,75,4.02,RU,1707249198
59,hithadhoo,-0.6,73.0833,28.2,77,94,3.07,MV,1707249198
60,st. thomas,42.7736,-81.1804,4.85,55,50,2.03,CA,1707249198
61,palmer,42.1584,-72.3287,4.86,45,20,4.63,US,1707249133
62,nova sintra,14.8667,-24.7167,21.14,72,0,3.9,CV,1707249199
63,olinda,-8.0089,-34.8553,30.85,66,20,4.63,BR,1707249199
64,wailua homesteads,22.0669,-159.378,22.64,72,75,8.23,US,1707249133
65,illizi,26.4833,8.4667,15.89,24,53,5.92,DZ,1707249199
66,afaahiti,-17.75,-149.2833,27.93,86,100,8.65,PF,1707249199
67,la oliva,28.6105,-13.9291,18.66,73,0,4.63,ES,1707249200
68,olonkinbyen,70.9221,-8.7187,-1.5,83,42,8.99,SJ,1707249200
69,avarua,-21.2078,-159.775,29.03,74,75,5.14,CK,1707249200
70,dudinka,69.4058,86.1778,-19.62,87,100,3.58,RU,1707249200
71,anadyr,64.75,177.4833,-24.72,83,40,6.0,RU,1707249201
72,liberal,37.0431,-100.921,17.58,39,0,10.8,US,1707249201
73,burang,30.25,81.1667,-17.56,62,28,0.72,CN,1707249201
74,okha,53.5739,142.9478,-22.8,99,75,4.6,RU,1707249201
75,ushuaia,-54.8,-68.3,18.79,44,0,2.57,AR,1707249202
76,ngawi,-7.4038,111.4461,23.6,97,100,1.24,ID,1707249202
77,yellowknife,62.456,-114.3525,-18.1,92,100,5.66,CA,1707249202
78,al khawr,25.7667,51.3167,16.03,54,0,4.93,QA,1707249202
79,chichibu,35.9903,139.0764,0.25,99,77,1.69,JP,1707249203
80,quzhou,28.9594,118.8686,1.22,99,100,2.25,CN,1707249203
81,aioi,34.8036,134.4681,2.97,81,26,2.35,JP,1707249203
82,tofol,5.3248,163.0078,27.85,77,100,7.15,FM,1707249172
83,haiku-pauwela,20.9219,-156.3051,22.92,69,20,8.23,US,1707249146
84,colonia,50.9333,6.95,11.65,74,20,7.72,DE,1707249204
85,tres arroyos,-38.3739,-60.2798,41.13,18,23,5.35,AR,1707249204
86,kayangel,8.0823,134.7173,27.35,77,100,9.27,PW,1707249204
87,el jadid,33.2549,-8.506,15.47,79,0,4.73,MA,1707249204
88,murghob,38.1702,73.9667,-22.56,79,13,2.78,TJ,1707249205
89,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,84,75,3.0,RU,1707249205
90,tuba city,36.135,-111.2399,10.77,54,80,6.26,US,1707249205
91,port mathurin,-19.6833,63.4167,27.17,69,70,8.32,MU,1707249126
92,lodeve,43.7167,3.3167,7.79,84,100,3.6,FR,1707249206
93,hawaiian paradise park,19.5933,-154.9731,22.8,89,100,4.63,US,1707249206
94,ancud,-41.8697,-73.8203,16.37,97,100,9.08,CL,1707249206
95,karczew,52.0766,21.2496,9.49,80,100,10.66,PL,1707249206
96,bilibino,68.0546,166.4372,-34.95,100,100,0.68,RU,1707249206
97,arraial do cabo,-22.9661,-42.0278,29.98,74,20,4.63,BR,1707249207
98,tazacorte,28.629,-17.9293,20.08,49,0,2.68,ES,1707249207
99,nemuro,43.3236,145.575,-8.18,73,13,1.91,JP,1707249207
100,thompson,55.7435,-97.8558,-18.91,65,40,4.63,CA,1707249207
101,bibir hat,22.6873,91.7853,18.43,86,2,0.93,BD,1707249208
102,alaghsas,17.0187,8.0168,18.21,19,97,7.24,NE,1707249208
103,whakatane,-37.9585,176.9854,20.43,94,22,0.51,NZ,1707249183
104,phan rang-thap cham,11.5667,108.9833,22.89,86,98,2.24,VN,1707249208
105,kodiak,57.79,-152.4072,-6.27,93,0,2.57,US,1707249208
106,isafjordur,66.0755,-23.124,-3.01,91,100,10.01,IS,1707249209
107,road town,18.4167,-64.6167,28.05,83,75,6.69,VG,1707249209
108,pathein,16.7833,94.7333,22.58,67,0,4.51,MM,1707249074
109,constantia,44.1833,28.65,8.38,58,48,5.64,RO,1707248989
110,buala,-8.145,159.5921,27.09,85,67,4.04,SB,1707249209
111,atafu village,-8.5421,-172.5159,28.95,77,100,11.83,TK,1707249032
112,peace river,56.2501,-117.286,-5.83,68,75,2.06,CA,1707249210
113,chernyshevskiy,63.0128,112.4714,-27.36,100,84,1.47,RU,1707249210
114,kone,-21.0595,164.8658,25.38,90,100,2.4,NC,1707249210
115,saldanha,-33.0117,17.9442,21.03,95,35,3.42,ZA,1707249070
116,salekhard,66.53,66.6019,-22.89,100,100,1.1,RU,1707249210
117,port alfred,-33.5906,26.891,23.13,91,96,4.19,ZA,1707249211
118,bismarck,46.8083,-100.7837,1.91,93,100,3.09,US,1707249118
119,rio de janeiro,-22.9028,-43.2075,31.97,63,20,8.23,BR,1707248781
120,lakatoro,-16.0999,167.4164,27.66,79,87,1.27,VU,1707249211
121,remire-montjoly,4.9167,-52.2667,26.02,94,75,2.06,GF,1707249188
122,hami,42.8,93.45,-4.31,54,1,2.69,CN,1707249171
123,diego de almagro,-26.3667,-70.05,30.47,28,0,8.15,CL,1707249212
124,pan de azucar,-34.8,-55.2333,29.95,58,75,6.17,UY,1707249212
125,sao vicente,-23.9631,-46.3919,33.1,57,75,2.68,BR,1707249212
126,jingzhou,30.3503,112.1903,-3.02,96,86,1.66,CN,1707249213
127,hammerfest,70.6634,23.6821,-4.75,68,75,4.12,NO,1707249213
128,togur,58.3631,82.8265,-4.36,94,97,4.02,RU,1707249213
129,margaret river,-33.95,115.0667,16.14,66,0,5.34,AU,1707249102
130,ilulissat,69.2167,-51.1,-12.99,43,75,8.23,GL,1707249213
131,pisco,-13.7,-76.2167,31.03,48,0,10.29,PE,1707249105
132,kakata,6.53,-10.3517,29.49,81,0,2.26,LR,1707249214
133,inirida,3.8653,-67.9239,29.9,66,100,1.13,CO,1707249214
134,bereznik,62.8551,42.7072,-23.71,100,97,0.28,RU,1707249214
135,iskushuban,10.2837,50.23,22.2,82,0,4.51,SO,1707249214
136,nogliki,51.8333,143.1667,-22.59,99,97,2.68,RU,1707249215
137,yangchun,22.1667,111.7833,16.33,91,100,2.55,CN,1707249215
138,ubinskoye,55.3068,79.6802,-11.54,93,83,3.55,RU,1707249215
139,alice springs,-23.7,133.8833,21.79,73,82,6.17,AU,1707249152
140,tazovsky,67.4667,78.7,-13.75,95,100,4.49,RU,1707249154
141,enewetak,11.3474,162.3373,26.47,81,54,7.55,MH,1707249216
142,molchanovo,57.5817,83.7692,-10.21,96,82,2.32,RU,1707249216
143,bengkulu,-3.8004,102.2655,24.04,89,100,2.2,ID,1707249154
144,bonny,4.4522,7.1681,27.88,75,78,4.91,NG,1707249216
145,port elizabeth,-33.918,25.5701,22.83,92,40,6.69,ZA,1707249216
146,mariental,-24.6333,17.9667,32.33,23,100,1.42,NA,1707249217
147,pokhara,28.2333,83.9833,11.23,53,47,1.72,NP,1707249124
148,iskateley,67.6803,53.1512,-27.77,99,97,1.34,RU,1707249150
149,fada,9.5667,8.3,25.12,18,100,3.72,NG,1707249217
150,bardai,11.65,7.2333,20.54,19,82,4.71,NG,1707249218
151,siwa oasis,29.2041,25.5195,15.29,50,0,2.01,EG,1707249218
152,mioveni,44.9566,24.9378,9.75,69,24,2.09,RO,1707249218
153,vodnyy,63.5046,53.4095,-25.88,100,100,0.89,RU,1707249218
154,lebu,-37.6167,-73.65,20.02,82,66,2.88,CL,1707249219
155,kuraymah,18.55,31.85,15.59,21,48,5.93,SD,1707249219
156,bagan serai,5.0108,100.541,27.01,100,53,1.52,MY,1707249219
157,sabang,5.8933,95.3214,27.47,79,100,5.91,ID,1707249219
158,kourou,5.1552,-52.6478,26.03,87,82,4.72,GF,1707249219
159,san antonio de pale,-1.4014,5.6325,28.37,77,38,1.08,GQ,1707249220
160,stanley,54.868,-1.6985,4.77,74,20,4.63,GB,1707249075
161,kristiansund,63.1115,7.732,-6.64,79,0,0.51,NO,1707249220
162,girua,-28.0283,-54.3497,35.27,57,99,4.04,BR,1707249220
163,sandnessjoen,66.0217,12.6316,-5.88,79,75,4.12,NO,1707249220
164,marka,1.7159,44.7717,26.43,89,100,6.99,SO,1707249221
165,aldinga beach,-35.2793,138.4604,15.25,85,2,2.81,AU,1707249221
166,daru,-9.0763,143.2092,25.56,92,100,3.62,PG,1707249221
167,dinar,38.065,30.1656,3.98,51,13,1.55,TR,1707249221
168,santa cruz,-17.8,-63.1667,35.03,46,20,7.2,BO,1707249121
169,antsiranana,-12.2787,49.2917,24.47,95,100,2.26,MG,1707249222
170,winnemucca,40.973,-117.7357,2.03,93,100,2.06,US,1707249222
171,woolgoolga,-30.1106,153.2007,22.25,92,96,9.09,AU,1707249222
172,puerto natales,-51.7236,-72.4875,20.25,34,75,4.63,CL,1707249222
173,el campo,29.1966,-96.2697,22.16,32,0,1.54,US,1707249222
174,umba,66.6871,34.3429,-17.31,98,100,2.17,RU,1707249223
175,naze,28.3667,129.4833,13.51,78,100,4.21,JP,1707249223
176,bayanhongor,46.7167,100.1167,-26.53,71,13,1.7,MN,1707249223
177,vila franca do campo,37.7167,-25.4333,18.27,99,100,8.24,PT,1707249223
178,saipan,15.1355,145.701,24.39,73,40,3.6,MP,1707249223
179,talnakh,69.4865,88.3972,-24.36,88,100,3.18,RU,1707249224
180,lorengau,-2.0226,147.2712,27.49,84,100,6.53,PG,1707249224
181,margate,51.3813,1.3862,12.28,81,100,7.6,GB,1707249224
182,lere,10.387,8.5726,23.49,21,100,3.7,NG,1707249224
183,vilyuysk,63.7553,121.6247,-29.44,100,100,0.45,RU,1707249224
184,ceeldheer,3.8488,47.1806,26.12,85,99,7.64,SO,1707249225
185,chadron,42.8294,-102.9999,13.97,49,0,2.68,US,1707249225
186,teocelo,19.3833,-96.9667,20.33,48,0,3.11,MX,1707249225
187,fortaleza,-3.7227,-38.5247,31.07,66,75,8.75,BR,1707248956
188,villa huidobro,-34.8383,-64.5869,41.99,19,9,7.34,AR,1707249226
189,swift current,50.2834,-107.8014,-2.55,100,100,4.63,CA,1707249226
190,maamba,-17.3667,27.15,24.16,69,77,1.86,ZM,1707249226
191,ad dawadimi,24.5077,44.3924,10.64,34,0,4.59,SA,1707249015
192,dunedin,-45.8742,170.5036,13.78,99,100,4.02,NZ,1707248932
193,sao joao da barra,-21.6403,-41.0511,30.05,83,99,3.34,BR,1707249226
194,college,64.8569,-147.8028,-17.74,80,75,1.54,US,1707249061
195,nema,57.5067,50.5011,-4.41,97,100,3.08,RU,1707249231
196,benguela,-12.5763,13.4055,27.29,76,82,0.62,AO,1707249231
197,alta,69.9689,23.2717,-15.41,78,75,1.54,NO,1707249231
198,hamilton,39.1834,-84.5333,9.22,60,0,2.06,US,1707248814
199,rajaori,33.3833,74.3,4.45,51,0,2.95,IN,1707249231
200,merritt,50.1123,-120.7942,1.29,81,100,0.89,CA,1707249232
201,ust-nera,64.5667,143.2,-32.87,88,99,0.3,RU,1707249121
202,beyneu,45.3167,55.2,-0.03,76,20,11.62,KZ,1707249232
203,east london,-33.0153,27.9116,24.22,85,100,8.44,ZA,1707249151
204,sake,-1.5736,29.045,17.42,88,53,0.35,CD,1707249237
205,baran,25.1,76.5167,15.69,51,90,3.11,IN,1707249237
206,vozhega,60.4725,40.2213,-27.7,100,50,1.25,RU,1707249237
207,kili,5.6439,169.1211,27.54,79,75,7.05,MH,1707249237
208,porto novo,6.4965,2.6036,28.9,64,6,2.26,BJ,1707249237
209,dzuunharaa,48.8523,106.4579,-21.01,99,74,1.3,MN,1707249238
210,dabakala,8.3667,-4.4333,28.92,16,0,1.76,CI,1707249238
211,al karamah,31.9522,35.5792,17.21,78,1,0.42,JO,1707249238
212,fortuna,40.5982,-124.1573,10.52,88,100,4.63,US,1707249238
213,mejit,10.2753,170.8646,26.83,79,74,7.74,MH,1707249239
214,nenjiang,49.1833,125.2167,-25.64,100,46,0.8,CN,1707249239
215,lihue,21.9789,-159.3672,22.98,72,75,8.23,US,1707249053
216,mahibadhoo,3.7833,72.9667,28.11,77,100,6.05,MV,1707249239
217,sovetskaya gavan',48.9723,140.2878,-18.27,90,13,2.22,RU,1707249239
218,georgetown,5.4112,100.3354,26.97,89,20,1.54,MY,1707249084
219,hun,29.1268,15.9477,14.13,33,0,1.34,LY,1707249245
220,susuman,62.7833,148.1667,-33.34,99,99,1.34,RU,1707249245
221,saint-pierre,-21.3393,55.4781,22.82,73,0,3.09,RE,1707249246
222,fale old settlement,-9.3852,-171.2468,29.24,75,100,11.49,TK,1707249186
223,buka,40.8108,69.1986,8.6,32,100,3.24,UZ,1707249246
224,katsuura,35.1333,140.3,6.07,74,94,6.54,JP,1707249246
225,deder,9.3167,41.45,15.13,64,7,2.66,ET,1707249246
226,nouadhibou,20.931,-17.0347,23.99,41,49,5.14,MR,1707249247
227,mount pearl,47.5166,-52.7813,0.47,97,100,15.95,CA,1707249247
228,ad dabbah,18.05,30.95,15.84,21,90,5.73,SD,1707249247
229,aasiaat,68.7098,-52.8699,-18.12,76,100,5.92,GL,1707249247
230,williamsburg,37.2707,-76.7075,8.03,44,20,4.47,US,1707249022
231,ma'an,26.9775,110.7211,-0.26,97,100,1.21,CN,1707249248
232,nuuk,64.1835,-51.7216,-8.66,67,40,2.57,GL,1707249120
233,coquimbo,-29.9533,-71.3436,22.85,68,0,6.69,CL,1707249197
234,san julian,21.0167,-102.1667,22.93,10,0,2.15,MX,1707249248
235,port lincoln,-34.7333,135.8667,15.67,80,6,3.4,AU,1707249155
236,carnarvon,-24.8667,113.6333,29.14,35,5,7.78,AU,1707249140
237,yilan,24.757,121.753,16.98,95,100,1.33,TW,1707249249
238,barlad,46.2333,27.6667,11.52,53,100,2.63,RO,1707249249
239,slyudyanka,51.6594,103.7061,-12.67,88,17,2.27,RU,1707249249
240,isangel,-19.55,169.2667,24.06,100,75,0.0,VU,1707249250
241,jinchang,38.4953,102.1739,-9.85,89,82,1.12,CN,1707249250
242,pierre,44.3683,-100.351,10.48,70,0,2.68,US,1707249250
243,sihanoukville,10.6093,103.5296,24.97,88,40,1.03,KH,1707249250
244,utrik,11.2278,169.8474,26.29,81,100,7.39,MH,1707249150
245,flying fish cove,-10.4217,105.6791,22.82,100,40,1.54,CX,1707249217
246,banda aceh,5.5577,95.3222,25.08,88,98,4.47,ID,1707249251
247,adjumani,3.3779,31.7909,28.15,41,98,1.01,UG,1707249251
248,udachny,66.4167,112.4,-29.2,82,94,1.94,RU,1707249251
249,betio village,1.358,172.9211,29.02,77,96,4.72,KI,1707249251
250,maragogi,-9.0122,-35.2225,28.39,71,82,5.0,BR,1707249184
251,lerwick,60.1545,-1.1494,1.0,62,100,10.47,GB,1707249252
252,minas,-34.3759,-55.2377,36.37,28,63,3.86,UY,1707249252
253,muisne,0.6,-80.0333,28.11,76,97,3.95,EC,1707249252
254,lospalos,-8.5186,127.0025,22.76,96,100,1.93,TL,1707249252
255,castillos,-34.1667,-53.8333,25.24,60,0,6.62,UY,1707249253
256,kahramanmaras,38.0,37.0,2.12,79,0,2.19,TR,1707249253
257,dibba al-hisn,25.6196,56.2729,16.1,52,0,6.04,AE,1707249253
258,sepatan,-6.1189,106.575,24.53,94,20,2.06,ID,1707249253
259,cabo san lucas,22.8909,-109.9124,28.67,64,81,0.89,MX,1707248877
260,cockburn town,21.4612,-71.1419,25.19,76,0,13.83,TC,1707249150
261,constitucion,-35.3333,-72.4167,22.5,68,40,6.28,CL,1707249254
262,lewistown,40.5992,-77.5714,7.71,66,0,0.0,US,1707249254
263,maintirano,-18.0667,44.0167,27.03,85,99,3.21,MG,1707249254
264,bokhan,53.153,103.7714,-20.92,100,38,1.42,RU,1707249254
265,shubarkuduk,49.1447,56.4872,-4.86,93,100,14.42,KZ,1707249255
266,tongzhou,39.9053,116.5994,-4.94,50,0,4.0,CN,1707249255
267,archangelos,36.2149,28.1149,14.62,83,0,1.92,GR,1707249255
268,vorkuta,67.5,64.0,-23.49,97,100,2.02,RU,1707249255
269,kirakira,-10.4544,161.9205,26.94,84,50,2.99,SB,1707249256
270,tezu,27.9167,96.1667,13.16,89,100,2.15,IN,1707249256
271,howard springs,-12.497,131.047,27.95,96,46,2.35,AU,1707249256
272,fort st. john,56.2499,-120.8529,-8.06,79,75,4.63,CA,1707249256
273,severo-yeniseyskiy,60.3725,93.0408,-5.79,89,100,4.47,RU,1707249256
274,puerto ayora,-0.7393,-90.3518,28.98,79,68,4.9,EC,1707249257
275,grand-lahou,5.1367,-5.0242,28.1,74,1,4.47,CI,1707249257
276,waddan,29.1614,16.139,14.2,33,1,1.7,LY,1707249257
277,energetik,51.7445,58.7934,-0.01,96,100,8.03,RU,1707249257
278,chibougamau,49.9168,-74.3659,-4.21,58,75,3.09,CA,1707249258
279,kyshtovka,56.555,76.6271,-6.48,93,99,3.58,RU,1707249258
280,kingston,17.997,-76.7936,28.53,56,40,8.23,JM,1707249112
281,campo mourao,-24.0456,-52.3831,31.6,40,100,1.49,BR,1707249258
282,itaituba,-4.2761,-55.9836,33.09,62,40,2.57,BR,1707249258
283,mitchell,43.7094,-98.0298,9.99,76,0,5.14,US,1707249259
284,minzhu,43.7286,127.3447,-23.27,100,47,0.75,CN,1707249259
285,revda,56.801,59.9303,-1.13,94,100,5.41,RU,1707249259
286,raton,36.9034,-104.4391,13.19,37,0,2.57,US,1707249259
287,silsbee,30.3491,-94.178,20.86,39,0,0.89,US,1707249260
288,hirara,24.8,125.2833,17.92,88,100,2.06,JP,1707249260
289,abaete,-19.16,-45.4458,28.62,51,78,0.66,BR,1707249234
290,yanchep,-31.55,115.6833,22.07,35,1,6.44,AU,1707249261
291,kavalerovo,44.2661,135.0572,-15.89,97,11,2.24,RU,1707249261
292,popondetta,-8.7537,148.2534,23.5,97,100,1.2,PG,1707249261
